icpsr_study_number,n_articles,max_detection_score,mean_detection_score,title,doi,snippet
03244,1,36.0,36.0,"The Cultural Divide and Changing Beliefs about Gender in the United States, 1974–2010",https://doi.org/10.1007/s11199-017-0874-4,"https://doi.org/10.3886/ICPSR03244
."
03546,1,21.0,21.0,"Prevalence of Poor Self-Rated Health and Associated Risk Factors among Older Adults in Cali, Colombia",https://doi.org/10.25100/cm.v44i4.1362,ICPSR03546-v1.
03764,1,12.0,12.0,Cultural Identity and Patient Trust Among Older American Indians,https://doi.org/10.1007/s11606-013-2578-y,ICPSR03764-v2.
04027,1,9.0,9.0,&lt;p&gt;The Evolution of Social Beliefs 1960–2016 in the United States and Its Influence on Empathy and Prosocial Expression in Medicine&lt;/p&gt;,https://doi.org/10.2147/amep.s246658,doi: 10.3886/ICPSR04027.v1.
04248,1,22.0,22.0,Accounting for non-normal covariates in treatment effects from count regressions,https://doi.org/10.3886/e128941v2,"https://doi.org/10.3886/ICPSR04248.v3
Citation of project publication:
Kiefer, C."
04431,1,8.0,8.0,Estimating the Prevalence of Injection Drug Users in the U.S. and in Large U.S. Metropolitan Areas from 1992 to 2002,https://doi.org/10.1007/s11524-007-9248-5,ICPSR04431-v2.
04572,2,70.0,36.5,"Out Of The Beta Phase: Obstacles, Challenges, And Promising Paths In The Study Of Cyber Criminology",https://doi.org/10.5281/zenodo.22196,ICPSR04572-v1.
04652,1,15.0,15.0,Volunteering and Wellbeing Among Ageing Adults: A Longitudinal Analysis,https://doi.org/10.1007/s11266-018-0041-8,ICPSR04652-v6.
04701,1,16.0,16.0,Food Insecurity and Adolescent Psychosocial Adjustment: Indirect Pathways through Caregiver Adjustment and Caregiver–Adolescent Relationship Quality,https://doi.org/10.1007/s10964-020-01322-x,ICPSR04701-v7.
06389,1,3.0,3.0,Preface: Walking backwards into the future,https://doi.org/10.1108/s1474-7863(2013)0000014024,ICPSR06389-v3.
07421,1,9.0,9.0,American Incomes before and after the Revolution,https://doi.org/10.3386/w17211,ICPSR07421-v3.
07767,1,9.0,9.0,A comparison of approaches for imbalanced classification problems in the context of retrieving relevant documents for an analysis,https://doi.org/10.1007/s42001-022-00191-7,"https://doi.org/10.3886/ICPSR07767.v4
."
07947,1,9.0,9.0,"International Terrorism: Attributes of Terrorist Events (ITERATE), 1968-2015",https://doi.org/10.7910/dvn/th4adj,"ITERATE 3 and 4 update the coverage of terrorist incidents first reported in ITERATE 1 and 2, which can be obtained from the &lt;a href=""http://doi.org/10.3886/ICPSR07947.v1""&gt;Inter-University Consortium for Political and Social Research&lt;/a&gt;."
08611,1,9.0,9.0,Newspapers and Parties: How Advertising Revenues Created an Independent Press,https://doi.org/10.1017/s0003055411000360,"“Electoral Data for Counties in the United States: Presidential and Congressional Races, 1840–1972.” ICPSR08611-v1."
09117,1,27.0,27.0,Black Americans’ Landholdings and Economic Mobility after Emancipation: Evidence from the Census of Agriculture and Linked Records,https://doi.org/10.1017/s0022050724000299,"https://doi.org/10.3886/ICPSR09117.v1
Google Scholar
Becker
,
Gary S."
1236,1,51.0,51.0,Retail Sweep Programs and Bank Reserves,https://doi.org/10.3886/icpsr01236.v1,"Retail Sweep Programs and Bank Reserves
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Retail Sweep Programs and Bank Reserves (ICPSR 1236)
Version Date:
Apr 2, 2001
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Anderson, Richard G., and Rasche, Robert H."
1258,1,51.0,51.0,"Seeing Through the Smoke and Mirrors: A Response to Palmer and Whitten, British Journal of Political Science, January 2003",https://doi.org/10.3886/icpsr01258,"Seeing Through the Smoke and Mirrors:  A Response to Palmer and Whitten, British Journal of Political Science, January 2003
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Seeing Through the Smoke and Mirrors:  A Response to Palmer and Whitten, British Journal of Political Science, January 2003 (ICPSR 1258)
Version Date:
Apr 25, 2003
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Royed, Terry J., Leyden, Kevin M., and Borrelli, Stephen A."
131103,1,6.0,6.0,"Association between blood pressure, body mass index, and age: A data analytic approach",https://doi.org/10.25259/cjhs_2_2023,"Material and Methods:
Using the Inter-university Consortium for Political and Social Research (ICPSR 131103) Study on the Effects of Mindfulness on Lifestyle Behavior and BP, prospectively gathered data were retrospectively analyzed."
13285,2,50.0,50.0,"Census of Population and Housing, 2000 [United States]: Selected Subsets From Summary File 1, Advance National",https://doi.org/10.3886/icpsr13285.v1,"Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 1, Advance National
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 1, Advance National (ICPSR 13285)
Version Date:
Jan 18, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States."
13395,2,50.0,50.0,"Census of Population and Housing, 2000 [United States]: Selected Subsets From Summary File 1, States",https://doi.org/10.3886/icpsr13395,"Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 1, States
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 1, States (ICPSR 13395)
Version Date:
Jan 18, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States."
13402,2,50.0,50.0,"Census of Population and Housing, 2000 [United States]: Selected Subsets From Summary File 3",https://doi.org/10.3886/icpsr13402,"Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 3
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Census of Population and Housing, 2000 [United States]:  Selected Subsets From Summary File 3 (ICPSR 13402)
Version Date:
Jan 18, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States."
13566,2,51.0,51.0,"Census of Population and Housing, 2000 [United States]: Summary File 1 Supplement, States",https://doi.org/10.3886/icpsr13566.v2,"Census of Population and Housing, 2000 [United States]:  Summary File 1 Supplement, States
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Census of Population and Housing, 2000 [United States]:  Summary File 1 Supplement, States   (ICPSR 13566)
Version Date:
May 24, 2013
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States."
13576,2,49.0,49.0,"Census of Population and Housing, 2000 [United States]: Block Group Subset From Summary File 3",https://doi.org/10.3886/icpsr13576,"Census of Population and Housing, 2000 [United States]:  Block Group Subset From Summary File 3
Skip to Main Content
Help
Search
Site Content
Data
Log In
Find Data
Find Data
Search & Compare Variables
Data-related Publications
Data Collections & Projects
Share & Manage Data
Share & Manage Data Overview
Preparing for Deposit
Deposit Your Data
Data Management Plans & Grant Support
Support & Resources
Membership
Member Overview
Member Institutions List
Become a Member
Managing Your Membership
Promoting ICPSR
Summer Program
Summer Program Home
Program Overview
Courses
Registration & Fees
Scholarships
Travel & Lodging
Testimonials
Giving
FAQs
Teaching & Learning
Overview
Find & Use Data
Teach with Data
Build Your Data Skills
Additional Resources
About ICPSR
About ICPSR
History
People
News & Events
Policies & Certifications
Repository Operations
Sponsors & Research Projects
Governance
Careers
Contact Us
Institute for Social Research
Giving
Census of Population and Housing, 2000 [United States]:  Block Group Subset From Summary File 3 (ICPSR 13576)
Version Date:
Jan 18, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
United States."
13589,1,9.0,9.0,Association Between Unmet Essential Social Needs and Influenza Vaccination in US Adults,https://doi.org/10.1007/s11606-021-06902-6,"https://doi.org/10.3886/ICPSR13589.v2
."
13602,1,9.0,9.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Substance Use Follow-Up, Wave 3, 2000-2002",https://doi.org/10.3886/icpsr13744,"It is closely related to PROJECT ON HUMAN DEVELOPMENT IN CHICAGO NEIGHBORHOODS (PHDCN): SUBSTANCE USE, WAVE 1, 1994-1997 (ICPSR 13602), PROJECT ON HUMAN DEVELOPMENT IN CHICAGO NEIGHBORHOODS (PHDCN): SUBSTANCE USE, WAVE 2, 1997-2000 (ICPSR 13659), and PROJECT ON HUMAN DEVELOPMENT IN CHICAGO NEIGHBORHOODS (PHDCN): SUBSTANCE USE, WAVE 3, 2000-2002 (ICPSR 13743)."
13612,2,52.0,52.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Caregiver-Subject Conflict Scale, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13612,"Project on Human Development in Chicago Neighborhoods (PHDCN):  Caregiver-Subject Conflict Scale, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN):  Caregiver-Subject Conflict Scale, Wave 2, 1997-2000 (ICPSR 13612)
Version Date:
Apr 5, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13617,2,53.0,53.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): My Exposure to Violence (Subject), Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13617,"Project on Human Development in Chicago Neighborhoods (PHDCN):  My Exposure to Violence (Subject), Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN):  My Exposure to Violence (Subject), Wave 2, 1997-2000 (ICPSR 13617)
Version Date:
Dec 6, 2005
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13619,2,53.0,53.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): My Child's Exposure to Violence, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13619,"Project on Human Development in Chicago Neighborhoods (PHDCN):  My Child's Exposure to Violence, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN):  My Child's Exposure to Violence, Wave 2, 1997-2000 (ICPSR 13619)
Version Date:
Dec 6, 2005
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13622,2,58.0,58.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Family Legal Update, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13622.v1,"Project on Human Development in Chicago Neighborhoods (PHDCN): Family Legal Update, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN): Family Legal Update, Wave 2, 1997-2000 (ICPSR 13622)
Version Date:
Nov 22, 2005
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13628,2,49.0,49.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Household Composition, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13628,"Project on Human Development in Chicago Neighborhoods (PHDCN):  Household Composition, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN):  Household Composition, Wave 2, 1997-2000 (ICPSR 13628)
Version Date:
Mar 17, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13629,2,52.0,52.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Health Screen, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13629.v1,"Project on Human Development in Chicago Neighborhoods (PHDCN): Health Screen, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN): Health Screen, Wave 2, 1997-2000 (ICPSR 13629)
Version Date:
Mar 29, 2007
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13630,2,59.0,59.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Home and Life Interview, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13630.v1,"Project on Human Development in Chicago Neighborhoods (PHDCN): Home and Life Interview, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN): Home and Life Interview, Wave 2, 1997-2000 (ICPSR 13630)
Version Date:
Dec 6, 2005
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13644,2,52.0,52.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Prenatal and Early Health, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13644,"Project on Human Development in Chicago Neighborhoods (PHDCN): Prenatal and Early Health, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN): Prenatal and Early Health, Wave 2, 1997-2000 (ICPSR 13644)
Version Date:
May 17, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13653,2,52.0,52.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): School and Day Care Screen, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13653.v1,"Project on Human Development in Chicago Neighborhoods (PHDCN): School and Day Care Screen, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN): School and Day Care Screen, Wave 2, 1997-2000 (ICPSR 13653)
Version Date:
Apr 24, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13667,2,49.0,49.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Youth Self Report, Wave 2, 1997-2000",https://doi.org/10.3886/icpsr13667,"Project on Human Development in Chicago Neighborhoods (PHDCN):  Youth Self Report, Wave 2, 1997-2000
Skip to Main Content
Discover Data
Discover Data
Discover Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
Share Data
Share Data
Share Data
NIJ Data Deposits
OJJDP Data Deposits
BJS Data Deposits
Other Data Deposits
About
About
About NACJD
Our Team
Announcements
Sponsors
Contact
Resources
Resources
Resources
Learning and
Data Guides
Restricted Data
Resources
Restricted Data at NACJD
Restricted Data Access
Application Requirements
Sample Forms
Analyze Data Online
Help
Search our data and website
Search
Search our data and website
Search
Project on Human Development in Chicago Neighborhoods (PHDCN):  Youth Self Report, Wave 2, 1997-2000 (ICPSR 13667)
Version Date:
Apr 5, 2006
View help for published
Cite this study
|
Share this page
Twitter
Facebook
LinkedIn
Citation
Earls, Felton J., Brooks-Gunn, Jeanne, Raudenbush, Stephen W., and Sampson, Robert J."
13668,1,12.0,12.0,Discrimination in Context: Examining Neighborhood-Level Variation in the Incidence and Adverse Effects of Perceived Racial and Ethnic Discrimination Among Chicago Youth,https://doi.org/10.1007/s12552-022-09367-2,ICPSR13668–v1.
